0	0
1	0
2	0
3	0
4	0
5	0
6	0
7	0
8	1.4296875
9	1.1650390625
10	1.4191894531
11	2.4956054688
12	1.4194335938
13	1.4714355469
14	1.3762207031
15	2.3173828125
16	0.7543945313
17	1.9020996094
18	2.54296875
19	4.29296875
20	0.6424560547
21	1.8671875
22	2.3359375
23	4.1953125
24	0.3549804688
25	1.361328125
26	2.3305664063
27	5.1142578125
28	0.6014404297
29	1.5317382813
30	2.2041015625
31	4.8369140625
32	0.4691162109
33	1.0476074219
34	1.6901855469
35	4.9404296875
36	0.3939819336
37	1.2919921875
38	1.9423828125
39	4.9111328125
40	0.5366210938
41	1.2509765625
42	1.6579589844
43	4.3671875
44	0.333984375
45	1.578125
46	2.0146484375
47	4.13671875
48	0.623046875
49	1.861328125
50	2.3481445313
51	3.4643554688
52	1.1635742188
53	2.29296875
54	2.40234375
55	3.30859375
